Market,State,Females,Males,Population,F0-17,F0-5,F0-9,F5-17,F5-9,F10-14,F10-17,F15-17,F18+,F18-19,F18-34,F18-49,F20,F21,F22-24,F25-29,F30-34,F35-39,F35-49,F40-44,F45-49,F50-54,F50-64,F55-59,F60-61,F62-64,F65+,F65-66,F67-69,F70-74,F75-79,F80-84,F85+,M0-5,M0-9,M5-17,M5-9,M10-14,M10-17,M15-17,M18+,M18-19,M18-34,M18-49,M20,M21,M22-24,M25-29,M30-34,M35-39,M35-49,M40-44,M45-49,M50-54,M50-64,M55-59,M60-61,M62-64,M65+,M65-66,M67-69,M75-79,M70-74,M80-84,M85+,P0-17,P0-17.1,P0-5,P0-9,P5-17,P5-9,P10-14,P10-17,P15-17,P18+,P18-19,P18-34,P18-49,P20,P21,P22-24,P25-29,P30-34,P35-39,P35-49,P40-44,P45-49,P50-54,P50-64,P55-59,P60-61,P62-64,P65+,P65-66,P67-69,P70-74,P75-79,P80-84,P85+,Females Baby Boomers,Males Baby Boomers,Population Baby Boomers,Females Millennials,Males Millennials,Population Millennials,Females Generation Z,Males Generation Z,Population Generation Z
AK,Alaska,336853.0,366158.0,703011.0,85533.0,24785.0,49583.0,60748.0,24798.0,22625.0,35950.0,13325.0,251320.0,7627.0,82751.0,146018.0,3712.0,4274.0,13561.0,27309.0,26268.0,23852.0,63267.0,19687.0,19728.0,20331.0,63326.0,22829.0,8767.0,11399.0,41976.0,6909.0,9055.0,11261.0,6519.0,4249.0,3983.0,25776.0,51605.0,64722.0,25829.0,24638.0,38893.0,14255.0,275660.0,9111.0,98646.0,166774.0,5454.0,5893.0,17905.0,31611.0,28672.0,25579.0,68128.0,20679.0,21870.0,22312.0,67864.0,23808.0,9202.0,12542.0,41022.0,7699.0,9991.0,5825.0,11074.0,3801.0,2632.0,176031.0,90498.0,50561.0,101188.0,125470.0,50627.0,47263.0,74843.0,27580.0,526980.0,16738.0,181397.0,312792.0,9166.0,10167.0,31466.0,58920.0,54940.0,49431.0,131395.0,40366.0,41598.0,42643.0,131190.0,46637.0,17969.0,23941.0,82998.0,14608.0,19046.0,22335.0,12344.0,8050.0,6615.0,95886.0,56333.0,110243.0,133074.0,143058.0,276132.0,69808.0,84229.0,154037.0
AL,Alabama,2527452.0,2365734.0,4893186.0,535277.0,144353.0,288192.0,390924.0,143839.0,154917.0,247085.0,92168.0,1992175.0,66849.0,551942.0,1018820.0,35535.0,33436.0,91324.0,167471.0,157327.0,156541.0,466878.0,151181.0,159156.0,163463.0,506129.0,172950.0,70479.0,99237.0,467226.0,60677.0,85546.0,118676.0,81975.0,60785.0,59567.0,149579.0,300516.0,408056.0,150937.0,160287.0,257119.0,96832.0,1808099.0,65459.0,546193.0,983407.0,36705.0,33089.0,93871.0,167179.0,149890.0,144863.0,437214.0,142671.0,149680.0,153533.0,464484.0,158953.0,61732.0,90266.0,360208.0,53730.0,73695.0,63852.0,98717.0,41156.0,29058.0,1092912.0,557635.0,293932.0,588708.0,798980.0,294776.0,315204.0,504204.0,189000.0,3800274.0,132308.0,1098135.0,2002227.0,72240.0,66525.0,185195.0,334650.0,307217.0,301404.0,904092.0,293852.0,308836.0,316996.0,970613.0,331903.0,132211.0,189503.0,827434.0,114407.0,159241.0,217393.0,145827.0,101941.0,88625.0,983816.0,441992.0,958582.0,931927.0,874638.0,1806565.0,486783.0,493135.0,979918.0
AR,Arkansas,1533362.0,1478511.0,3011873.0,343126.0,91643.0,187005.0,251483.0,95362.0,97279.0,156121.0,58842.0,1190236.0,39910.0,334139.0,613945.0,20463.0,20425.0,56704.0,101220.0,95417.0,95564.0,279806.0,91671.0,92571.0,93689.0,292729.0,99971.0,42016.0,57053.0,283562.0,37182.0,51177.0,70415.0,52021.0,34086.0,38681.0,96802.0,195771.0,262904.0,98969.0,103012.0,163935.0,60923.0,1118805.0,41277.0,342972.0,616725.0,24123.0,20634.0,58783.0,102338.0,95817.0,94009.0,273753.0,90127.0,89617.0,90606.0,275525.0,95723.0,37341.0,51855.0,226555.0,32070.0,46614.0,42409.0,59448.0,25072.0,20942.0,702832.0,359706.0,188445.0,382776.0,514387.0,194331.0,200291.0,320056.0,119765.0,2309041.0,81187.0,677111.0,1230670.0,44586.0,41059.0,115487.0,203558.0,191234.0,189573.0,553559.0,181798.0,182188.0,184295.0,568254.0,195694.0,79357.0,108908.0,510117.0,69252.0,97791.0,129863.0,94430.0,59158.0,59623.0,593426.0,269737.0,579601.0,562458.0,553706.0,1116164.0,297564.0,308078.0,605642.0
AZ,Arizona,3572759.0,3529591.0,7102350.0,793539.0,208543.0,425027.0,584996.0,216484.0,232825.0,368512.0,135687.0,2779220.0,95711.0,799587.0,1445386.0,48949.0,48092.0,135978.0,244333.0,226524.0,222188.0,645799.0,209849.0,213762.0,211534.0,659036.0,224157.0,90111.0,133234.0,674798.0,86579.0,125989.0,172578.0,126917.0,79561.0,83174.0,217958.0,441159.0,608913.0,223201.0,243865.0,385712.0,141847.0,2702720.0,99144.0,859325.0,1513511.0,52822.0,51336.0,149459.0,264137.0,242427.0,226511.0,654186.0,215848.0,211827.0,205644.0,612894.0,207368.0,83599.0,116283.0,576315.0,75439.0,107554.0,111640.0,154776.0,70739.0,56167.0,1620410.0,826871.0,426501.0,866186.0,1193909.0,439685.0,476690.0,754224.0,277534.0,5481940.0,194855.0,1658912.0,2958897.0,101771.0,99428.0,285437.0,508470.0,468951.0,448699.0,1299985.0,425697.0,425589.0,417178.0,1271930.0,431525.0,173710.0,249517.0,1251113.0,162018.0,233543.0,327354.0,238557.0,150300.0,139341.0,1410206.0,649291.0,1384699.0,1304360.0,1338972.0,2643332.0,708750.0,758745.0,1467495.0
CA,California,17584044.0,17351879.0,34935923.0,3835039.0,1035246.0,2076372.0,2799793.0,1041126.0,1108618.0,1758667.0,650049.0,13749005.0,440546.0,4202751.0,7660641.0,227366.0,228119.0,697129.0,1335454.0,1274137.0,1193592.0,3457890.0,1123783.0,1140515.0,1124419.0,3296858.0,1132791.0,440402.0,599246.0,2791506.0,373189.0,505633.0,677205.0,464034.0,337382.0,434063.0,1085562.0,2174373.0,2928483.0,1088811.0,1161174.0,1839672.0,678498.0,13337834.0,460100.0,4457353.0,7948379.0,249626.0,247760.0,725190.0,1424880.0,1349797.0,1231926.0,3491026.0,1128336.0,1130764.0,1111925.0,3165109.0,1081839.0,420511.0,550834.0,2224346.0,338098.0,443333.0,374856.0,568245.0,245954.0,253860.0,7849084.0,4014045.0,2120808.0,4250745.0,5728276.0,2129937.0,2269792.0,3598339.0,1328547.0,27086839.0,900646.0,8660104.0,15609020.0,476992.0,475879.0,1422319.0,2760334.0,2623934.0,2425518.0,6948916.0,2252119.0,2271279.0,2236344.0,6461967.0,2214630.0,860913.0,1150080.0,5015852.0,711287.0,948966.0,1245450.0,838890.0,583336.0,687923.0,5851215.0,2695877.0,5755586.0,7049402.0,7201085.0,14250487.0,3578663.0,3786054.0,7364717.0
CO,Colorado,2822773.0,2862153.0,5684926.0,615025.0,162289.0,333586.0,452736.0,171297.0,176574.0,281439.0,104865.0,2207748.0,70108.0,676372.0,1234317.0,36336.0,35302.0,109021.0,214723.0,210882.0,198862.0,557945.0,181092.0,177991.0,173306.0,534961.0,187722.0,74654.0,99279.0,438470.0,64018.0,87282.0,110639.0,70026.0,47291.0,59214.0,168650.0,345908.0,475356.0,177258.0,187579.0,298098.0,110519.0,2218147.0,76549.0,741042.0,1329339.0,41345.0,37714.0,118766.0,235076.0,231592.0,211213.0,588297.0,191858.0,185226.0,173459.0,518941.0,182552.0,69615.0,93315.0,369867.0,60040.0,78102.0,61043.0,100887.0,35581.0,34214.0,1259031.0,644006.0,330939.0,679494.0,928092.0,348555.0,364153.0,579537.0,215384.0,4425895.0,146657.0,1417414.0,2563656.0,77681.0,73016.0,227787.0,449799.0,442474.0,410075.0,1146242.0,372950.0,363217.0,346765.0,1053902.0,370274.0,144269.0,192594.0,808337.0,124058.0,165384.0,211526.0,131069.0,82872.0,93428.0,944368.0,463002.0,968900.0,1148781.0,1222960.0,2371741.0,570355.0,619969.0,1190324.0
CT,Connecticut,1828861.0,1741688.0,3570549.0,359849.0,88983.0,183869.0,270866.0,94886.0,108272.0,175980.0,67708.0,1469012.0,50274.0,386579.0,724179.0,25240.0,25233.0,67592.0,107616.0,110624.0,109445.0,337600.0,107508.0,120647.0,133627.0,397578.0,138063.0,55305.0,70583.0,347255.0,42775.0,59911.0,82175.0,57399.0,43022.0,61973.0,93725.0,191160.0,282010.0,97435.0,113376.0,184575.0,71199.0,1365953.0,52105.0,403098.0,725575.0,25215.0,24644.0,75457.0,114689.0,110988.0,104519.0,322477.0,104625.0,113333.0,125579.0,372167.0,129101.0,50372.0,67115.0,268211.0,37957.0,52489.0,45954.0,70100.0,29534.0,32177.0,735584.0,375735.0,182708.0,375029.0,552876.0,192321.0,221648.0,360555.0,138907.0,2834965.0,102379.0,789677.0,1449754.0,50455.0,49877.0,143049.0,222305.0,221612.0,213964.0,660077.0,212133.0,233980.0,259206.0,769745.0,267164.0,105677.0,137698.0,615466.0,80732.0,112400.0,152275.0,103353.0,72556.0,94150.0,715403.0,323987.0,692135.0,665177.0,642609.0,1307786.0,343663.0,363309.0,706972.0
DE,Delaware,499959.0,467720.0,967679.0,100807.0,26965.0,54470.0,73842.0,27505.0,29034.0,46337.0,17303.0,399152.0,12675.0,105640.0,192970.0,6798.0,6111.0,15794.0,32926.0,31336.0,28562.0,87330.0,28763.0,30005.0,33452.0,105359.0,34995.0,14645.0,22267.0,100823.0,14302.0,19454.0,25080.0,18878.0,11491.0,11618.0,27809.0,55633.0,75591.0,27824.0,30047.0,47767.0,17720.0,364320.0,12445.0,106688.0,189184.0,6350.0,6405.0,17024.0,33274.0,31190.0,28422.0,82496.0,26226.0,27848.0,30577.0,93935.0,33766.0,11547.0,18045.0,81201.0,11507.0,16265.0,15059.0,22363.0,8782.0,7225.0,204207.0,103400.0,54774.0,110103.0,149433.0,55329.0,59081.0,94104.0,35023.0,763472.0,25120.0,212328.0,382154.0,13148.0,12516.0,32818.0,66200.0,62526.0,56984.0,169826.0,54989.0,57853.0,64029.0,199294.0,68761.0,26192.0,40312.0,182024.0,25809.0,35719.0,47443.0,33937.0,20273.0,18843.0,215449.0,94786.0,209412.0,175991.0,168334.0,344325.0,91607.0,93218.0,184825.0
FL,Florida,10078767.0,9656100.0,19734867.0,1924000.0,517459.0,1036422.0,1406541.0,518963.0,556086.0,887578.0,331492.0,8154767.0,218406.0,2073305.0,3910928.0,119211.0,120448.0,339965.0,648501.0,626774.0,612817.0,1837623.0,593776.0,631030.0,663568.0,2055345.0,716457.0,277889.0,397431.0,2188494.0,265764.0,380895.0,546395.0,402016.0,278858.0,314566.0,540266.0,1078878.0,1467484.0,538612.0,583661.0,928872.0,345211.0,7648350.0,232297.0,2152255.0,3956405.0,122714.0,121559.0,361278.0,673170.0,641237.0,605576.0,1804150.0,585575.0,612999.0,636689.0,1888157.0,649949.0,253081.0,348438.0,1803788.0,229733.0,327720.0,352856.0,470359.0,221095.0,202025.0,3931750.0,2007750.0,1057725.0,2115300.0,2874025.0,1057575.0,1139747.0,1816450.0,676703.0,15803117.0,450703.0,4225560.0,7867333.0,241925.0,242007.0,701243.0,1321671.0,1268011.0,1218393.0,3641773.0,1179351.0,1244029.0,1300257.0,3943502.0,1366406.0,530970.0,745869.0,3992282.0,495497.0,708615.0,1016754.0,754872.0,499953.0,516591.0,4458884.0,1982187.0,4252577.0,3670990.0,3636538.0,7307528.0,1778023.0,1856229.0,3634252.0
GA,Georgia,5402643.0,5113936.0,10516579.0,1228891.0,319186.0,654712.0,909705.0,335526.0,359931.0,574179.0,214248.0,4173752.0,147337.0,1236426.0,2316960.0,74146.0,71382.0,203884.0,377917.0,361760.0,367078.0,1080534.0,347903.0,365553.0,357537.0,1032328.0,352848.0,134362.0,187581.0,824464.0,116436.0,160012.0,213992.0,143393.0,93174.0,97457.0,332899.0,680092.0,943524.0,347193.0,374740.0,596331.0,221591.0,3837513.0,152289.0,1242124.0,2254668.0,77163.0,73356.0,215283.0,377040.0,346993.0,340070.0,1012544.0,329163.0,343311.0,337736.0,947948.0,326550.0,122653.0,161009.0,634897.0,97130.0,136125.0,114003.0,174905.0,62966.0,49768.0,2505314.0,1276423.0,652085.0,1334804.0,1853229.0,682719.0,734671.0,1170510.0,435839.0,8011265.0,299626.0,2478550.0,4571628.0,151309.0,144738.0,419167.0,754957.0,708753.0,707148.0,2093078.0,677066.0,708864.0,695273.0,1980276.0,679398.0,257015.0,348590.0,1459361.0,213566.0,296137.0,388897.0,257396.0,156140.0,147225.0,1780240.0,805825.0,1761601.0,2157275.0,2028770.0,4186045.0,1088914.0,1116722.0,2205636.0
HI,Hawaii,707642.0,711996.0,1419638.0,146593.0,42495.0,83625.0,104098.0,41130.0,40367.0,62968.0,22601.0,561049.0,14284.0,151897.0,282823.0,6339.0,8395.0,26053.0,48637.0,48189.0,46425.0,130926.0,42021.0,42480.0,43332.0,135437.0,45624.0,18890.0,27591.0,142789.0,19119.0,25402.0,32038.0,22727.0,17471.0,26032.0,45683.0,88902.0,109970.0,43219.0,43071.0,66751.0,23680.0,556343.0,15469.0,172219.0,306330.0,9311.0,10697.0,30854.0,54769.0,51119.0,47648.0,134111.0,43769.0,42694.0,42763.0,131604.0,45017.0,18503.0,25321.0,118409.0,17133.0,23805.0,20200.0,30551.0,12428.0,14292.0,302246.0,155653.0,88178.0,172527.0,214068.0,84349.0,83438.0,129719.0,46281.0,1117392.0,29753.0,324116.0,589153.0,15650.0,19092.0,56907.0,103406.0,99308.0,94073.0,265037.0,85790.0,85174.0,86095.0,267041.0,90641.0,37393.0,52912.0,261198.0,36252.0,49207.0,62589.0,42927.0,29899.0,40324.0,288556.0,135513.0,281280.0,267561.0,276647.0,544208.0,126309.0,144780.0,271089.0
IA,Iowa,1585575.0,1564436.0,3150011.0,357115.0,96250.0,194677.0,260865.0,98427.0,102699.0,162438.0,59739.0,1228460.0,43810.0,347734.0,624946.0,24472.0,22548.0,62392.0,98688.0,95824.0,98612.0,277212.0,88389.0,90211.0,95280.0,306486.0,108226.0,42627.0,60353.0,297028.0,36899.0,51452.0,67401.0,50790.0,38831.0,51655.0,99212.0,203709.0,272160.0,104497.0,104548.0,167663.0,63115.0,1193064.0,45901.0,365717.0,650999.0,25087.0,23132.0,69318.0,103087.0,99192.0,104699.0,285282.0,89570.0,91013.0,96172.0,301692.0,104393.0,41441.0,59686.0,240373.0,35386.0,48557.0,39999.0,60915.0,27814.0,27702.0,728487.0,371372.0,195462.0,398386.0,533025.0,202924.0,207247.0,330101.0,122854.0,2421524.0,89711.0,713451.0,1275945.0,49559.0,45680.0,131710.0,201775.0,195016.0,203311.0,562494.0,177959.0,181224.0,191452.0,608178.0,212619.0,84068.0,120039.0,537401.0,72285.0,100009.0,128316.0,90789.0,66645.0,79357.0,606550.0,285984.0,595506.0,560037.0,578743.0,1138780.0,311649.0,329640.0,641289.0
